season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.0148.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.0317.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.1054.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.1251.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.1420.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981120.2338.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981121.0135.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981121.0304.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981120.0919.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981121.0014.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981121.0814.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981122.0030.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981122.2317.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85h,2degreeticks,19981123.0511.trmm.tmi_85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,wind,2degreeticks,1919981121.1237.f11.wind.x.NONAME.x.jpg
tc98,WPAC,12W.NONAME,ssmi,vapor,none,19980917.2314.f13.x.vapor.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.1106.f13.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.1305.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.1432.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.2351.f13.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.0148.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.0317.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.1054.f13.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981120.1251.f11.multisensor.x.NONAME.x.jpg
